Longitude,Longitude_imp,Latitude,Latitude_imp,Year,Year_imp,Month,Month_imp,Day,Day_imp
-119.494722,0,33.263611,0,1997,0,7,0,18,0
-119.242778,0,34.243333,0,1933,0,9,0,15,1
-119.499444,0,33.249444,0,1977,0,12,0,15,1
-119.499444,0,33.249444,0,1977,0,12,0,15,1
-119.499444,0,33.249444,0,1977,0,12,0,10,0
-119.499444,0,33.249444,0,1977,0,12,0,15,1
-119.499444,0,33.249444,0,1977,0,12,0,15,1
-119.359444,0,34.015833,0,1978,0,8,0,22,0
-119.499444,0,33.249444,0,1977,0,12,0,10,0
-119.697222,0,34.420833,0,1928,0,6,0,20,0
-71.59857,0,42.87053,0,2022,1,7,1,16,1
-71.59857,0,42.87053,0,2022,1,7,1,16,1
-71.59857,0,42.87053,0,2022,1,7,1,16,1
-71.11282,0,42.37738,0,2022,1,7,1,16,1
-96.369963,0,30.674364,0,1960,0,2,0,15,0
-96.369963,0,30.674364,0,1960,0,3,0,10,0
-80.077208,0,26.35017,0,2025,0,11,0,1,0
-82.340878,0,29.645901,0,2025,0,11,0,1,0
-74.917697,0,40.207049,0,2025,0,11,0,23,0
-81.319132,0,26.935608,0,2025,0,6,0,14,0
-80.370317,0,36.060986,0,2025,0,11,0,23,0
-121.760356,0,37.299912,0,2025,0,11,0,19,0
-94.716009,0,38.815576,0,2025,0,11,0,15,0
-76.454129,0,37.074726,0,2025,0,10,0,2,0
-95.452958,0,31.321175,0,2023,0,10,0,24,0
-98.366197,0,26.176508,0,2025,0,11,0,21,0
-74.917715,0,40.20702,0,2025,0,11,0,23,0
-82.577235,0,35.573166,0,2025,0,11,0,21,0
-83.229914,0,33.078327,0,2025,0,11,0,21,0
-117.326029,0,33.972602,0,2025,0,11,0,22,0
-86.138726,0,39.729361,0,2025,0,11,0,23,0
-121.896309,0,37.451473,0,2025,0,11,0,22,0
-117.142433,0,32.701613,0,2025,0,11,0,18,0
-88.333686,0,42.488144,0,2025,0,11,0,19,0
-119.043374,0,34.158659,0,2025,0,10,0,30,0
-74.918825,0,40.207706,0,2025,0,11,0,23,0
-122.246178,0,37.555042,0,2025,0,7,0,27,0
-92.809259,0,36.914058,0,2025,0,11,0,21,0
-82.54512,0,27.360488,0,2025,0,10,0,28,0
-82.340412,0,29.652395,0,2025,0,11,0,7,0
-71.065394,0,41.838779,0,2025,0,11,0,23,0
-118.414833,0,33.402947,0,2025,0,11,0,21,0
-80.234563,0,26.005686,0,2025,0,11,0,10,0
-94.404269,0,45.821412,0,2025,0,10,0,11,0
-74.918423,0,40.207843,0,2025,0,11,0,23,0
-93.253334,0,44.939802,0,2025,0,11,0,21,0
-81.316444,0,29.781756,0,2025,0,11,0,2,0
-118.1892,0,34.089425,0,2025,0,11,0,22,0
-79.905238,0,32.790331,0,2025,0,11,0,21,0
-118.352871,0,33.947684,0,2025,0,11,0,23,0
-84.105095,0,39.817312,0,2025,0,11,0,24,0
-84.250948,0,30.587154,0,2025,0,1,0,22,0
-70.752846,0,41.918514,0,2025,0,11,0,13,0
-81.580805,0,41.188273,0,2025,0,11,0,22,0
-122.058097,0,36.965862,0,2025,0,11,0,23,0
-81.543823,0,41.055679,0,2025,0,11,0,20,0
-70.752846,0,41.918514,0,2025,0,11,0,13,0
-77.110522,0,39.191968,0,2025,0,11,0,12,0
-117.926042,0,33.994773,0,2025,0,11,0,22,0
-79.439955,0,35.990804,0,2025,0,10,0,9,0
-70.752846,0,41.918514,0,2025,0,10,0,25,0
-77.09747,0,39.157792,0,2025,0,11,0,14,0
-121.680512,0,36.851172,0,2025,0,11,0,21,0
-122.233205,0,37.970884,0,2025,0,11,0,21,0
-81.542763,0,41.057408,0,2025,0,11,0,22,0
-77.019031,0,39.13981,0,2025,0,11,0,16,0
-85.274637,0,43.904962,0,2025,0,11,0,19,0
-82.352262,0,29.648187,0,2025,0,11,0,2,0
-121.770671,0,37.328558,0,2025,0,11,0,19,0
-124.115892,0,46.8803,0,2025,0,9,0,18,0
-81.200912,0,28.601345,0,2025,0,9,0,3,0
-95.41382,0,29.768503,0,2025,0,11,0,20,0
-74.931386,0,40.209018,0,2025,0,11,0,20,0
-71.0343,0,42.431354,0,2025,0,11,0,20,0
-93.253334,0,44.939802,0,2025,0,11,0,21,0
-159.473908,0,22.21378,0,2025,0,11,0,11,0
-92.264824,0,46.723721,0,2025,0,11,0,17,0
-80.346119,0,25.559473,0,2025,0,11,0,12,0
-122.716679,0,45.648606,0,2025,0,11,0,2,0
-91.669244,0,42.025212,0,2025,0,11,0,12,0
-121.914995,0,37.683597,0,2025,0,11,0,12,0
-121.845725,0,36.599403,0,2025,0,11,0,1,0
-122.126292,0,37.465677,0,2025,0,11,0,16,0
-96.745594,0,29.337388,0,2025,0,11,0,16,0
-118.120082,0,33.790866,0,2025,0,9,0,3,0
-74.918323,0,40.20763,0,2025,0,11,0,18,0
-97.122292,0,31.54522,0,2025,0,10,0,14,0
-121.870991,0,36.60115,0,2025,0,10,0,31,0
-81.361717,0,28.662505,0,2025,0,11,0,17,0
-159.754959,0,22.087022,0,2025,0,11,0,11,0
-78.302887,0,35.881745,0,2025,0,11,0,20,0
-97.268744,0,32.836189,0,2025,0,11,0,13,0
-79.08449,0,35.901629,0,2024,0,4,0,2,0
-83.252852,0,33.076734,0,2025,0,11,0,10,0
-82.27893,0,28.150603,0,2025,0,10,0,26,0
-117.519686,0,33.841564,0,2025,0,11,0,17,0
-104.806082,0,39.537363,0,2025,0,11,0,10,0
-74.918114,0,40.206711,0,2025,0,11,0,18,0
-83.490672,0,41.690792,0,2025,0,11,0,14,0
-84.493634,0,38.069536,0,2025,0,9,0,23,0
-82.420789,0,29.601685,0,2025,0,11,0,19,0
-79.269835,0,39.595739,0,2025,0,11,0,18,0
-74.918087,0,40.207315,0,2025,0,11,0,18,0
-87.554094,0,41.64097,0,2025,0,10,0,31,0
-84.192647,0,39.824922,0,2025,0,11,0,4,0
-74.918185,0,40.207145,0,2025,0,11,0,18,0
-74.917955,0,40.206958,0,2025,0,11,0,18,0
-92.270475,0,32.416151,0,2025,0,11,0,10,0
-115.112095,0,36.067758,0,2025,0,11,0,12,0
-76.877355,0,39.156959,0,2025,0,4,0,25,0
-81.601608,0,30.381638,0,2025,0,11,0,13,0
-78.908022,0,35.937258,0,2025,0,11,0,16,0
-111.708563,0,33.373997,0,2025,0,11,0,13,0
-83.965553,0,40.287915,0,2025,0,11,0,5,0
-82.090917,0,33.38605,0,2025,0,11,0,18,0
-79.032608,0,35.929005,0,2025,0,11,0,4,0
-93.471405,0,41.69907,0,2025,0,11,0,6,0
-81.499808,0,28.615061,0,2025,0,11,0,10,0
-81.974467,0,33.464124,0,2025,0,11,0,14,0
-86.537494,0,33.542654,0,2025,0,11,0,1,0
-122.474229,0,48.726932,0,2025,0,11,0,11,0
-76.994025,0,35.817025,0,2025,0,11,0,15,0
-122.412637,0,38.247038,0,2025,0,8,0,22,0
-77.590505,0,35.257678,0,2025,0,11,0,8,0
-79.060136,0,35.919813,0,2025,0,10,0,30,0
-97.120242,0,31.545607,0,2024,0,12,0,13,0
-122.671562,0,45.63221,0,2021,0,9,0,21,0
-122.737059,0,45.745229,0,2025,0,11,0,2,0
-112.622779,0,45.232871,0,2025,0,11,0,9,0
-71.159181,0,41.701008,0,2025,0,11,0,19,0
-89.00497,0,34.478427,0,2025,0,11,0,13,0
-77.316691,0,38.652744,0,2025,0,10,0,14,0
-97.928995,0,33.100064,0,2025,0,11,0,8,0
-82.548481,0,27.360368,0,2025,0,11,0,14,0
-85.920224,0,33.619775,0,2025,0,11,0,14,0
-75.423047,0,40.541271,0,2025,0,11,0,16,0
-80.406152,0,25.600457,0,2025,0,11,0,11,0
-79.201903,0,34.695401,0,2025,0,11,0,17,0
-89.152818,0,30.350469,0,2025,0,11,0,17,0
-81.368755,0,28.543799,0,2025,0,11,0,6,0
-123.012458,0,48.547023,0,2025,0,11,0,10,0
-81.21018,0,28.599879,0,2025,0,11,0,13,0
-115.108589,0,36.067056,0,2025,0,11,0,12,0
-121.894251,0,37.438929,0,2025,0,11,0,11,0
-73.205667,0,40.769755,0,2025,0,11,0,18,0
-83.965553,0,40.287915,0,2025,0,11,0,11,0
-90.846365,0,30.492646,0,2025,0,11,0,2,0
-79.054397,0,35.911792,0,2025,0,11,0,15,0
-82.548481,0,27.360368,0,2025,0,11,0,10,0
-82.343401,0,29.649978,0,2025,0,11,0,15,0
-74.918377,0,40.207511,0,2025,0,11,0,18,0
-88.383191,0,43.033724,0,2025,0,11,0,13,0
-81.60498,0,30.349722,0,2025,0,11,0,13,0
-74.915901,0,40.2047,0,2025,0,11,0,10,0
-122.201516,0,47.61015,0,2025,0,11,0,13,0
-78.823132,0,35.006277,0,2025,0,11,0,17,0
-78.277477,0,35.703705,0,2025,0,11,0,17,0
-74.917969,0,40.207207,0,2025,0,11,0,18,0
-121.918913,0,37.402337,0,2025,0,11,0,19,0
-98.565132,0,29.606271,0,2025,0,11,0,10,0
-122.703266,0,45.721585,0,2025,0,11,0,2,0
-84.155753,0,31.137128,0,2025,0,11,0,11,0
-74.917864,0,40.207143,0,2025,0,11,0,18,0
-117.342147,0,33.983978,0,2025,0,11,0,16,0
-109.543267,0,38.565058,0,2025,0,8,0,20,0
-79.048481,0,35.91343,0,2025,0,11,0,13,0
-96.714669,0,32.825597,0,2025,0,11,0,11,0
-117.333862,0,33.981487,0,2025,0,10,0,20,0
-79.048653,0,35.913357,0,2025,0,11,0,15,0
-83.96323,0,40.287611,0,2025,0,11,0,1,0
-117.975289,0,33.757029,0,2025,0,11,0,11,0
-74.917979,0,40.206565,0,2025,0,11,0,18,0
-83.965553,0,40.287915,0,2025,0,11,0,13,0
-74.917146,0,40.205153,0,2025,0,11,0,10,0
-80.537306,0,25.608625,0,2025,0,11,0,11,0
-83.965553,0,40.287915,0,2025,0,11,0,12,0
-86.044454,0,39.479629,0,2025,0,11,0,16,0
-117.342087,0,33.983938,0,2025,0,11,0,16,0
-84.192662,0,39.824697,0,2025,0,11,0,4,0
-112.622779,0,45.232871,0,2025,0,11,0,10,0
-74.917752,0,40.206232,0,2025,0,11,0,18,0
-93.240548,0,44.948449,0,2025,0,11,0,14,0
-77.93539,0,34.206297,0,2025,0,11,0,11,0
-77.475005,0,37.765862,0,2025,0,11,0,13,0
-97.476988,0,35.251533,0,2025,0,11,0,14,0
-121.916844,0,37.402591,0,2025,0,11,0,19,0
-92.264824,0,46.723721,0,2025,0,11,0,17,0
-80.103239,0,26.573977,0,2025,0,11,0,18,0
-81.377388,0,28.538231,0,2025,0,11,0,14,0
-76.632483,0,35.692928,0,2025,0,11,0,15,0
-123.012992,0,48.547428,0,2025,0,11,0,15,0
-75.083253,0,39.908795,0,2025,0,11,0,16,0
-110.951438,0,31.335335,0,2025,0,11,0,14,0
-83.96323,0,40.287611,0,2025,0,11,0,8,0
-96.714765,0,32.826253,0,2025,0,10,0,30,0
-84.046918,0,39.834592,0,2025,0,11,0,14,0
-117.325613,0,33.977055,0,2025,0,10,0,26,0
-75.721458,0,36.096742,0,2025,0,11,0,15,0
-118.250283,0,34.776328,0,2025,0,11,0,7,0
-84.410225,0,33.745205,0,2025,0,11,0,18,0
-121.916946,0,37.403058,0,2025,0,11,0,19,0
-84.297403,0,31.295392,0,2025,0,11,0,13,0
-84.191745,0,39.826737,0,2025,0,11,0,4,0
-80.243403,0,36.094732,0,2023,0,7,0,1,0
-119.748718,0,36.807709,0,2025,0,11,0,14,0
-97.118311,0,31.545241,0,2025,0,11,0,16,0
-95.020165,0,29.548225,0,2025,0,11,0,10,0
-79.960913,0,36.074256,0,2025,0,11,0,15,0
-83.96323,0,40.287611,0,2025,0,11,0,4,0
-99.317137,0,31.447217,0,2025,0,9,0,29,0
-82.272392,0,29.654711,0,2025,0,5,0,22,0
-122.794547,0,45.712976,0,2025,0,11,0,2,0
-79.053276,0,35.913077,0,2025,0,11,0,1,0
-81.173915,0,31.980523,0,2025,0,11,0,18,0
-84.297067,0,31.295294,0,2025,0,11,0,13,0
-123.68148,0,39.825073,0,2025,0,8,0,16,0
-74.176412,0,40.77614,0,2025,0,11,0,20,0
-74.917733,0,40.206827,0,2025,0,11,0,18,0
-120.94751,0,38.240529,0,2025,0,11,0,12,0
-85.95746,0,31.800388,0,2025,0,10,0,17,0
-82.270821,0,36.327694,0,2025,0,11,0,13,0
-124.28737,0,40.679367,0,2025,0,11,0,12,0
-84.21145,0,39.809352,0,2025,0,11,0,14,0
-81.295682,0,28.917051,0,2025,0,11,0,9,0
-120.53003,0,47.005245,0,2025,0,11,0,9,0
-84.096629,0,39.845729,0,2025,0,11,0,4,0
-111.61989,0,33.445771,0,2025,0,10,0,11,0
-84.199386,0,31.235569,0,2025,0,11,0,5,0
-93.258868,0,44.95295,0,2025,0,11,0,4,0
-82.549613,0,27.363955,0,2025,0,11,0,2,0
-77.039701,0,39.091884,0,2025,0,10,0,30,0
-77.053639,0,39.003349,0,2025,0,10,0,31,0
-91.181205,0,30.412837,0,2025,0,11,0,4,0
-91.185045,0,30.413247,0,2025,0,11,0,6,0
-97.122537,0,31.545576,0,2025,0,11,0,9,0
-121.122176,0,36.210447,0,2025,0,10,0,31,0
-119.463202,0,36.609533,0,2025,0,11,0,4,0
-82.270131,0,34.96411,0,2025,0,11,0,5,0
-77.099979,0,39.097951,0,2025,0,10,0,31,0
-96.943097,0,32.840933,0,2025,0,10,0,28,0
-82.527544,0,28.026042,0,2025,0,11,0,7,0
-95.787952,0,29.628908,0,2025,0,11,0,3,0
-82.368911,0,28.028042,0,2025,0,11,0,4,0
-97.736522,0,30.283257,0,2025,0,11,0,8,0
-91.73433,0,45.546886,0,2025,0,11,0,10,0
-121.757571,0,37.311347,0,2025,0,11,0,6,0
-81.211708,0,28.62348,0,2025,0,11,0,5,0
-121.177658,0,37.699512,0,2025,0,10,0,17,0
-123.112335,0,44.046725,0,2025,0,11,0,9,0
-84.14598,0,39.987372,0,2025,0,11,0,10,0
-119.815411,0,37.548451,0,2025,0,11,0,2,0
-79.807345,0,37.238632,0,2025,0,11,0,7,0
-156.466387,0,20.897242,0,2025,0,11,0,6,0
-83.188917,0,41.626964,0,2025,0,11,0,5,0
-84.107736,0,39.806911,0,2025,0,11,0,4,0
-119.894156,0,37.533552,0,2025,0,11,0,4,0
-87.216283,0,30.541511,0,2025,0,5,0,23,0
-84.147369,0,31.129908,0,2025,0,11,0,5,0
-76.980314,0,39.925479,0,2025,0,11,0,1,0
-97.077175,0,36.123383,0,2025,0,10,0,30,0
-80.060208,0,36.408081,0,2025,0,9,0,1,0
-121.903785,0,37.456901,0,2025,0,11,0,8,0
-97.118473,0,31.546696,0,2025,0,11,0,2,0
-73.185295,0,41.459758,0,2025,0,2,0,3,0
-97.112555,0,31.54532,0,2025,0,11,0,7,0
-123.090942,0,44.059264,0,2025,0,11,0,10,0
-81.367042,0,27.299883,0,2025,0,11,0,8,0
-95.898033,0,33.245214,0,2025,0,11,0,4,0
-77.09864,0,39.129395,0,2025,0,10,0,25,0
-78.317437,0,35.833595,0,2025,0,11,0,7,0
-88.838522,0,42.265752,0,2025,0,11,0,6,0
-78.558747,0,35.948558,0,2025,0,10,0,16,0
-123.107788,0,44.046722,0,2025,0,11,0,9,0
-83.966719,0,43.548042,0,2025,0,11,0,7,0
-82.270026,0,34.964097,0,2025,0,11,0,5,0
-97.172175,0,31.588478,0,2025,0,11,0,7,0
-79.051783,0,35.91248,0,2025,0,11,0,1,0
-102.124106,0,32.02499,0,2025,0,11,0,9,0
-84.393048,0,33.776282,0,2025,0,11,0,4,0
-118.277863,0,34.023808,0,2025,0,11,0,2,0
-81.80573,0,24.558847,0,2025,0,8,0,1,0
-81.196463,0,28.600628,0,2025,0,10,0,28,0
-122.022287,0,37.419948,0,2025,0,10,0,25,0
-93.05816,0,34.518442,0,2025,0,11,0,10,0
-119.905262,0,37.565045,0,2025,0,11,0,4,0
-84.393052,0,33.776291,0,2025,0,11,0,4,0
-97.453514,0,32.692822,0,2025,0,11,0,3,0
-118.044516,0,34.195787,0,2025,0,10,0,4,0
-118.015802,0,34.022611,0,2025,0,10,0,1,0
-97.758719,0,30.41788,0,2025,0,11,0,8,0
-81.294326,0,28.560475,0,2025,0,11,0,4,0
-123.113885,0,44.046739,0,2025,0,11,0,9,0
-73.959423,0,40.803224,0,2025,0,9,0,25,0
-73.160712,0,41.277444,0,2025,0,11,0,1,0
-80.692222,0,32.212697,0,2025,0,11,0,9,0
-84.007886,0,39.984451,0,2025,0,11,0,4,0
-99.103547,0,29.34862,0,2025,0,11,0,8,0
-82.270162,0,34.964123,0,2025,0,11,0,5,0
-82.108422,0,31.405536,0,2025,0,11,0,4,0
-123.107511,0,44.04673,0,2025,0,11,0,9,0
-95.25277,0,32.315945,0,2025,0,11,0,2,0
-73.096227,0,41.288522,0,2025,0,10,0,31,0
-93.275044,0,36.632168,0,2025,0,11,0,3,0
-77.065819,0,39.018074,0,2025,0,10,0,27,0
-121.791574,0,39.750613,0,2025,0,11,0,8,0
-84.005816,0,39.984818,0,2025,0,11,0,4,0
-73.313795,0,43.476214,0,2025,0,11,0,5,0
-81.523173,0,35.305102,0,2025,0,11,0,3,0
-81.439246,0,32.197144,0,2025,0,11,0,7,0
-83.937988,0,43.681898,0,2025,0,8,0,29,0
-76.487618,0,41.007896,0,2025,0,10,0,29,0
-81.196744,0,28.600472,0,2025,0,10,0,28,0
-95.315488,0,39.21856,0,2025,0,10,0,26,0
-77.126433,0,39.0739,0,2025,0,10,0,26,0
-119.996729,0,37.518742,0,2025,0,10,0,21,0
-112.622779,0,45.232871,0,2023,0,1,0,1,0
-121.927724,0,37.43204,0,2025,0,10,0,25,0
-117.690974,0,34.01556,0,2025,0,10,0,30,0
-97.112414,0,31.545366,0,2025,0,11,0,2,0
-119.869951,0,37.53049,0,2025,0,10,0,25,0
-97.374312,0,31.974583,0,2025,0,10,0,12,0
-96.389503,0,33.191372,0,2025,0,10,0,31,0
-121.745558,0,37.715878,0,2025,0,11,0,2,0
-81.536307,0,28.793475,0,2025,0,11,0,3,0
-80.293258,0,25.762837,0,2025,0,11,0,1,0
-121.761827,0,37.299989,0,2025,0,10,0,30,0
-156.024794,0,19.669606,0,2025,0,10,0,9,0
-122.054856,0,37.656393,0,2025,0,10,0,21,0
-83.913026,0,40.908137,0,2024,0,3,0,1,0
-123.012983,0,48.547672,0,2025,0,11,0,2,0
-72.578347,0,42.448487,0,2025,0,10,0,30,0
-68.753188,0,44.79087,0,2025,0,10,0,12,0
-97.77846,0,32.751103,0,2025,0,10,0,26,0
-95.312114,0,32.369272,0,2025,0,10,0,29,0
-77.078432,0,39.079379,0,2025,0,10,0,10,0
-121.896274,0,37.4515,0,2025,0,10,0,26,0
-72.373921,0,41.287353,0,2025,0,10,0,29,0
-77.165655,0,39.129999,0,2025,0,10,0,22,0
-82.345475,0,29.649737,0,2025,0,9,0,26,0
-80.308868,0,25.734779,0,2025,0,10,0,25,0
-74.917696,0,40.206414,0,2025,0,10,0,21,0
-95.31794,0,39.218362,0,2025,0,10,0,31,0
-81.303384,0,40.979968,0,2025,0,10,0,30,0
-97.610349,0,27.86505,0,2025,0,11,0,1,0
-77.179852,0,39.034706,0,2025,0,10,0,14,0
-74.917408,0,40.206942,0,2025,0,10,0,31,0
-78.93855,0,36.322094,0,2025,0,9,0,25,0
-117.548976,0,34.125143,0,2025,0,10,0,31,0
-121.761845,0,37.2999,0,2025,0,10,0,24,0
-74.918046,0,40.207257,0,2025,0,10,0,21,0
-121.80407,0,37.334378,0,2025,0,10,0,25,0
-82.521142,0,37.479072,0,2025,0,10,0,21,0
-94.698898,0,39.021797,0,2024,0,7,0,10,0
-90.088439,0,29.958222,0,2025,0,10,0,9,0
-78.760395,0,37.537071,0,2025,0,10,0,17,0
-77.054749,0,39.175962,0,2025,0,10,0,9,0
-81.768339,0,33.586633,0,2025,0,10,0,26,0
-81.201699,0,28.598643,0,2025,0,10,0,31,0
-84.36334,0,39.693022,0,2025,0,11,0,2,0
-118.5299,0,34.23792,0,2025,0,10,0,30,0
-84.297797,0,37.739905,0,2025,0,9,0,12,0
-74.917768,0,40.20704,0,2025,0,10,0,31,0
-121.896202,0,37.451508,0,2025,0,10,0,26,0
-77.01208,0,39.012323,0,2025,0,10,0,18,0
-121.795708,0,37.32415,0,2024,0,4,0,9,0
-90.407272,0,41.601658,0,2021,0,5,0,29,0
-77.169863,0,39.115539,0,2025,0,10,0,15,0
-121.761514,0,37.300393,0,2025,0,9,0,18,0
-77.190019,0,39.070534,0,2025,0,10,0,18,0
-121.789245,0,37.301163,0,2025,0,10,0,22,0
-81.200997,0,28.601313,0,2025,0,10,0,17,0
-96.872168,0,32.976324,0,2025,0,10,0,24,0
-93.266394,0,37.071772,0,2025,0,10,0,22,0
-122.028993,0,37.32136,0,2025,0,10,0,25,0
-82.493792,0,28.111728,0,2025,0,10,0,26,0
-82.176498,0,36.617363,0,2025,0,10,0,26,0
-111.904233,0,40.652108,0,2025,0,11,0,3,0
-121.896192,0,37.451471,0,2025,0,10,0,25,0
-73.191467,0,44.49297,0,2025,0,10,0,24,0
-78.925447,0,35.968256,0,2025,0,11,0,2,0
-88.993917,0,43.967383,0,2025,0,10,0,26,0
-83.811845,0,43.71531,0,2025,0,9,0,2,0
-95.391655,0,29.726915,0,2025,0,10,0,24,0
-119.952903,0,37.549078,0,2025,0,10,0,17,0
-84.301823,0,39.926822,0,2025,0,10,0,28,0
-87.902204,0,43.274992,0,2025,0,10,0,31,0
-85.88858,0,30.228197,0,2025,0,4,0,2,0
-97.758719,0,30.41788,0,2025,0,7,0,15,0
-122.695647,0,37.903133,0,2025,0,10,0,21,0
-74.917915,0,40.206647,0,2025,0,10,0,31,0
-90.104637,0,29.962933,0,2025,0,10,0,9,0
-94.698898,0,39.021797,0,2025,0,10,0,10,0
-119.979234,0,37.465725,0,2025,0,10,0,29,0
-117.126926,0,32.569637,0,2025,0,10,0,9,0
-75.97615,0,39.947853,0,2025,0,10,0,20,0
-81.194369,0,28.613392,0,2025,0,10,0,23,0
-121.927508,0,37.432353,0,2025,0,10,0,25,0
-80.357408,0,25.647083,0,2021,0,12,0,24,0
-81.205558,0,28.586448,0,2025,0,11,0,3,0
-119.883824,0,37.473335,0,2025,0,10,0,24,0
-81.495327,0,41.06216,0,2025,0,10,0,24,0
-122.232467,0,38.070033,0,2025,0,10,0,12,0
-121.927781,0,37.431989,0,2025,0,10,0,25,0
-73.845253,0,40.710622,0,2025,0,10,0,27,0
-93.253334,0,44.939802,0,2025,0,10,0,26,0
-157.788819,0,21.391217,0,2025,0,11,0,2,0
-81.262812,0,28.80005,0,2025,0,10,0,15,0
-121.758775,0,36.765342,0,2025,0,10,0,19,0
-118.548072,0,34.219088,0,2025,0,10,0,13,0
-98.565169,0,29.606173,0,2025,0,10,0,27,0
-75.165464,0,39.933692,0,2025,0,10,0,29,0
-124.161178,0,43.372313,0,2025,0,5,0,23,0
-118.284617,0,34.015464,0,2025,0,7,0,2,0
-74.917671,0,40.20678,0,2025,0,10,0,21,0
-121.840341,0,37.24126,0,2025,0,10,0,28,0
-96.467038,0,30.806122,0,2025,0,11,0,2,0
-121.94355,0,37.317639,0,2025,0,10,0,30,0
-118.366562,0,34.017353,0,2025,0,10,0,26,0
-77.187323,0,39.079936,0,2025,0,10,0,8,0
-95.374817,0,38.811058,0,2025,0,10,0,29,0
-97.35033,0,27.672644,0,2025,0,10,0,21,0
-121.89723,0,37.448572,0,2025,0,10,0,26,0
-84.431168,0,39.723082,0,2025,0,9,0,10,0
-122.936047,0,38.130732,0,2025,0,10,0,22,0
-157.690645,0,21.281037,0,2018,0,11,0,18,0
-95.25142,0,32.315205,0,2025,0,10,0,29,0
-77.112154,0,39.006511,0,2025,0,10,0,17,0
-79.822503,0,36.0671,0,2024,0,10,0,9,0
-77.111268,0,39.18738,0,2025,0,10,0,9,0
-78.4356,0,35.690708,0,2025,0,10,0,31,0
-74.917768,0,40.206489,0,2025,0,10,0,21,0
-98.705565,0,35.533551,0,2025,0,10,0,7,0
-82.342278,0,29.653475,0,2025,0,10,0,30,0
-76.389229,0,37.038879,0,2025,0,11,0,1,0
-88.208312,0,42.548877,0,2025,0,10,0,11,0
-88.257342,0,42.591708,0,2025,0,10,0,12,0
-77.068997,0,39.059943,0,2025,0,10,0,14,0
-89.654223,0,37.444052,0,2025,0,10,0,25,0
-83.227646,0,33.080977,0,2025,0,10,0,19,0
-82.574647,0,27.521972,0,2025,0,3,0,22,0
-74.917932,0,40.206705,0,2025,0,10,0,21,0
-80.234584,0,26.005716,0,2025,0,10,0,27,0
-121.513679,0,38.666382,0,2025,0,10,0,29,0
-123.186053,0,45.744178,0,2025,0,10,0,29,0
-76.685477,0,39.194286,0,2025,0,8,0,19,0
-119.837147,0,37.518757,0,2025,0,10,0,28,0
